Locality,Restaurant Count,Percentage
Pocatello,16,0.18
"Vyapar Kendra, Sushant Lok",16,0.18
Barakhamba Road,16,0.18
Augusta,15,0.17
Davenport,15,0.17
Sector 34,15,0.17
"DLF Mega Mall, DLF Phase 1",15,0.17
"DLF South Point Mall, Golf Course Road",15,0.17
Sector 22,15,0.17
"Basant Lok Market, Vasant Vihar",15,0.17
Mayapuri Phase 2,15,0.17
SDA,15,0.17
"Spice World Mall, Sector 25",15,0.17
Te Aro,15,0.17
Sector 10,14,0.15
Ashok Vihar Phase 2,14,0.15
Lawrence Road,14,0.15
"Gardens Galleria, Sector 38 Noida",14,0.15
Cedar Falls,13,0.14
Sector 43,13,0.14
"Qutab Plaza, DLF Phase 1",13,0.14
Adchini,13,0.14
"DLF Promenade Mall, Vasant Kunj",13,0.14
"Living Style Mall, Jasola",13,0.14
PVR Anupam Complex,13,0.14
South Extension 1,13,0.14
"Worldmark 1, Aerocity",13,0.14
Zakir Nagar,13,0.14
"Jaipuria Plaza, Sector 26, Noida",13,0.14
Pensacola,12,0.13
"Crown Interiorz Mall, Sector 35, Faridabad",12,0.13
Sector 23,12,0.13
"Ambience Mall, Vasant Kunj",12,0.13
Chawri Bazar,12,0.13
"DLF Place Mall, Saket",12,0.13
Sarojini Nagar,12,0.13
Sector 38,12,0.13
Sector 58,12,0.13
Sector 11,11,0.12
Sector 86,11,0.12
Ashok Vihar Phase 3,11,0.12
Macon,10,0.11
Sector 28,10,0.11
"Central Plaza Mall, Golf Course Road",10,0.11
JNU,10,0.11
Model Town 3,10,0.11
Nizamuddin,10,0.11
Pandara Road Market,10,0.11
Sector 48,10,0.11
Iowa City,9,0.1
Warner Robins,9,0.1
Sector 35,9,0.1
Gomti Nagar,9,0.1
Bhikaji Cama Place,9,0.1
"Palate of Delhi, Chanakyapuri",9,0.1
"The Imperial, Janpath",9,0.1
"Vasant Square Mall, Vasant Kunj",9,0.1
Sector 2,9,0.1
Old Town,9,0.1
Cedar Rapids,8,0.09
Dalton,8,0.09
Patia,8,0.09
Race Course,8,0.09
Badarpur Border,8,0.09
"Cross Point Mall, DLF Phase 4",8,0.09
"One Horizon Center, Golf Course Road",8,0.09
South City 2,8,0.09
"Ansal Plaza Mall, Khel Gaon Marg",8,0.09
Narela,8,0.09
"The India Mall, New Friends Colony",8,0.09
"The Lalit New Delhi, Barakhamba Road",8,0.09
"Ganga Shopping Complex, Sector 29",8,0.09
Sector 125,8,0.09
White Town,8,0.09
Waikiki,7,0.08
Waterloo,7,0.08
Town Hall,7,0.08
CIDCO,7,0.08
Sector 8,7,0.08
DLF Phase 2,7,0.08
"DT City Centre Mall, MG Road",7,0.08
"Global Foyer Mall, Golf Course Road",7,0.08
"Huda City Centre Metro Station, Sector 29, Gurgaon",7,0.08
"Vyapar Kendra, Palam Vihar",7,0.08
Jubilee Hills,7,0.08
Balmatta,7,0.08
Chander Nagar,7,0.08
"DLF South Square, Sarojini Nagar",7,0.08
Lado Sarai,7,0.08
Okhla Phase 1,7,0.08
Patparganj,7,0.08
Rajendra Place,7,0.08
"Sangam Courtyard, RK Puram",7,0.08
"Star City Mall, Mayur Vihar Phase 1",7,0.08
Sunder Nagar,7,0.08
"The Claridges, Aurangzeb Road",7,0.08
"The Taj Mahal Hotel, Mansingh Road",7,0.08
"MSX Mall, Greater Noida",7,0.08
Sector 59,7,0.08
Asa Sul,6,0.07
Downtown,6,0.07
Gainesville,6,0.07
Winter Park,6,0.07
Indiranagar,6,0.07
"MGF Metropolis Mall, MG Road",6,0.07
"Shopping Mall, DLF Phase 1",6,0.07
C Scheme,6,0.07
"District Centre, Janakpuri",6,0.07
"Hotel The Royal Plaza, Janpath",6,0.07
"Hyatt Regency, Bhikaji Cama Place",6,0.07
"ITC Maurya, Chanakyapuri",6,0.07
"Le Meridien, Janpath",6,0.07
"MGM Club, Daryaganj",6,0.07
Okhla Phase 2,6,0.07
"Radisson Blu Plaza Delhi, Mahipalpur",6,0.07
"The Ashok, Chanakyapuri",6,0.07
Wazirpur,6,0.07
Sector 25,6,0.07
Sector 63,6,0.07
Sector 65,6,0.07
"Kollupitiya, Colombo 03",6,0.07
Bettendorf,5,0.06
Dahlonega,5,0.06
Pensacola Beach,5,0.06
Lahaina,5,0.06
Hyde Park,5,0.06
Tajganj,5,0.06
Bodakdev,5,0.06
"Elante Mall, Chandigarh Industrial Area",5,0.06
Peelamedu,5,0.06
Charmwood Village,5,0.06
Sector 19,5,0.06
Sector 49,5,0.06
Indirapuram,5,0.06
DLF Cyber City,5,0.06
"DT Mega Mall, DLF Phase 1",5,0.06
"Main Market, Sarabha Nagar",5,0.06
College Road,5,0.06
"Aggarwal City Plaza, Rohini",5,0.06
"Cross River Mall, Karkardooma",5,0.06
"D Mall, Netaji Subhash Place",5,0.06
"DLF City Centre Mall, Shalimar Bagh",5,0.06
"Eros Hotel, Nehru Place",5,0.06
India Gate,5,0.06
"Jaypee Vasant Continental, Vasant Vihar",5,0.06
"JMD Kohinoor Mall, Greater Kailash",5,0.06
"MGF Metropolitan Mall, Saket",5,0.06
Moti Bagh,5,0.06
"Shangri La's - Eros hotel, Janpath",5,0.06
"Spark Mall, Kamla Nagar",5,0.06
"The Leela Palace, Chanakyapuri",5,0.06
"Unity One Mall, Janakpuri",5,0.06
"Ansal Plaza Mall, Greater Noida",5,0.06
